_id,Pred
32187,32.0
32188,13.0
32189,17.0
32190,21.539777755737305
32191,22.432209014892578
32192,22.978015899658203
32193,25.12605094909668
32194,21.41021728515625
32195,32.14216613769531
32196,18.17290687561035
32197,17.52208137512207
32198,16.38155174255371
32199,12.390905380249023
32200,6.446404457092285
32201,8.153410911560059
32202,5.980752468109131
32203,6.697454929351807
32204,6.653439998626709
32205,2.482064723968506
32206,6.188379764556885
32207,2.4867756366729736
32208,3.541062116622925
32209,5.278804302215576
32210,5.78178071975708
32211,5.710325241088867
32212,19.44651222229004
32213,8.044753074645996
32214,15.07811164855957
32215,3.728708267211914
32216,5.332348823547363
32217,7.300402641296387
32218,15.419577598571777
32219,8.62531852722168
32220,8.667475700378418
32221,8.55260944366455
32222,10.664262771606445
32223,14.413833618164062
32224,18.733226776123047
32225,18.253068923950195
32226,36.16779708862305
32227,48.56814956665039
32228,44.712554931640625
32229,48.17349624633789
32230,48.082244873046875
32231,50.978004455566406
32232,55.89329147338867
32233,48.9052619934082
32234,55.31414794921875
32235,50.96934127807617
32236,54.462589263916016
32237,40.43757629394531
32238,28.891578674316406
32239,7.666638374328613
32240,7.8095502853393555
32241,7.873929977416992
32242,9.329202651977539
32243,9.284759521484375
32244,9.101962089538574
32245,9.673482894897461
32246,7.554917812347412
32247,6.692419052124023
32248,6.852142333984375
32249,6.734808921813965
32250,6.59334659576416
32251,6.363130569458008
32252,3.4912586212158203
32253,2.880059242248535
32254,3.420900821685791
32255,4.8534674644470215
32256,3.2775020599365234
32257,0.7999230623245239
32258,1.0
32259,1.0
32260,6.047390937805176
32261,5.659938812255859
32262,5.848363876342773
32263,15.579813003540039
32264,21.30710792541504
32265,10.462474822998047
32266,10.775479316711426
32267,8.975351333618164
32268,2.521937370300293
32269,2.440176010131836
32270,2.2338931560516357
32271,1.7361587285995483
32272,1.5519249439239502
32273,1.8047118186950684
32274,2.644243001937866
32275,2.9820096492767334
32276,2.619006395339966
32277,4.755776405334473
32278,7.313467025756836
32279,6.632767200469971
32280,8.817510604858398
32281,10.252524375915527
32282,10.530694007873535
32283,11.016595840454102
32284,13.236774444580078
32285,12.423807144165039
32286,12.455178260803223
32287,12.171645164489746
32288,12.819045066833496
32289,11.676029205322266
32290,9.712783813476562
32291,2.6600191593170166
32292,2.5236058235168457
32293,2.365527391433716
32294,2.236294984817505
32295,2.1519734859466553
32296,2.0990796089172363
32297,2.0180466175079346
32298,1.9062572717666626
32299,1.8529847860336304
32300,1.7419651746749878
32301,1.7213929891586304
32302,1.796637773513794
32303,1.8443986177444458
32304,1.8658665418624878
32305,2.358792781829834
32306,2.5235462188720703
32307,2.9745230674743652
32308,3.103184700012207
32309,3.235059976577759
32310,3.239227771759033
32311,2.632528066635132
32312,3.492593765258789
32313,4.058481216430664
32314,4.406664848327637
32315,4.52682638168335
32316,5.275853633880615
32317,5.247496604919434
32318,5.339507102966309
32319,5.043664932250977
32320,5.08187198638916
32321,4.223796844482422
32322,3.196666955947876
32323,3.339942216873169
32324,3.801093339920044
32325,3.514669418334961
32326,3.413578987121582
32327,3.4135589599609375
32328,3.3929359912872314
32329,3.3658790588378906
32330,3.466353416442871
32331,3.4480414390563965
32332,4.313143730163574
